"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Potato, State : Karnataka"
"Commodity : Potato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,12.100000000000001,Other,1966.0,2166.0,2066.0
16/12/2025,2.7,Other,1756.0,1956.0,1856.0
17/12/2025,9.0,Other,1845.0,2045.0,1945.0
18/12/2025,1.0,Other,1667.0,1667.0,1667.0
19/12/2025,4.800000000000001,Other,2084.0,2084.0,2084.0
20/12/2025,8.9,Other,1960.0,2160.0,2060.0
22/12/2025,10.3,Other,2004.0,2204.0,2104.0
24/12/2025,5.6000000000000005,Other,1984.0,2184.0,2084.0
29/12/2025,15.0,Other,1900.0,2100.0,2000.0
31/12/2025,4.2,Other,1885.0,2085.0,1985.0
Market Name : Chintamani APMC
18/12/2025,5.0,Local,2000.0,3000.0,2500.0
Market Name : Davangere APMC
03/12/2025,4.0,Potato,2000.0,2300.0,2200.0
04/12/2025,4.5,Potato,1900.0,2200.0,2000.0
09/12/2025,4.5,Potato,1800.0,2100.0,2000.0
10/12/2025,4.0,Potato,1900.0,2200.0,2000.0
11/12/2025,4.5,Potato,2000.0,2300.0,2200.0
12/12/2025,4.0,Potato,1900.0,2100.0,2000.0
16/12/2025,4.5,Potato,2000.0,2300.0,2200.0
17/12/2025,4.0,Potato,1900.0,2100.0,2000.0
18/12/2025,4.5,Potato,2000.0,2200.0,2100.0
19/12/2025,4.0,Potato,1900.0,2200.0,2100.0
20/12/2025,4.0,Potato,2000.0,2300.0,2100.0
23/12/2025,4.0,Potato,2000.0,2200.0,2100.0
24/12/2025,4.0,Potato,1900.0,2100.0,2000.0
26/12/2025,4.5,Potato,1800.0,2000.0,1900.0
30/12/2025,4.5,Potato,1900.0,2200.0,2000.0
31/12/2025,4.0,Potato,1800.0,2100.0,2000.0
Market Name : Doddaballa Pur APMC
01/12/2025,1.8,Local,1800.0,2300.0,2000.0
02/12/2025,2.4000000000000004,Local,2000.0,2500.0,2200.0
03/12/2025,2.4000000000000004,Local,1800.0,2200.0,2000.0
04/12/2025,1.8,Local,2000.0,2500.0,2200.0
06/12/2025,1.8,Local,2000.0,2500.0,2200.0
08/12/2025,1.8,Local,2000.0,2500.0,2200.0
09/12/2025,2.0,Local,2000.0,2400.0,2200.0
10/12/2025,1.8,Local,2000.0,2600.0,2300.0
11/12/2025,1.8,Local,2000.0,2600.0,2300.0
12/12/2025,1.8,Local,2000.0,2600.0,2300.0
15/12/2025,2.1,Local,2000.0,2600.0,2300.0
16/12/2025,1.0,Local,2000.0,2700.0,2400.0
18/12/2025,0.6000000000000001,Local,2000.0,3000.0,2400.0
19/12/2025,2.0,Local,2000.0,3000.0,2500.0
20/12/2025,0.6000000000000001,Local,2000.0,2600.0,2300.0
22/12/2025,2.3000000000000003,Local,2000.0,2600.0,2300.0
23/12/2025,2.0,Local,2000.0,2800.0,2400.0
24/12/2025,2.0,Local,2000.0,2500.0,2300.0
26/12/2025,2.0,Local,2000.0,2600.0,2300.0
29/12/2025,1.8,Local,2000.0,2200.0,2100.0
30/12/2025,2.0,Local,2000.0,2400.0,2200.0
Market Name : Gowribidanoor APMC
